timestamp,temp_c,humidity_pct,lux,vpd_kpa,y,y_label,y_pred,y_label_pred,y_pred_prob_normal,y_pred_prob_alert,y_pred_prob_alarm
2026-01-01 00:00:00,25.28,64.4,0.0,1.146,0.0,normal,0,normal,0.9824161529541016,0.015999089926481247,0.0015847863396629691
2026-01-01 00:02:00,27.02,65.38,0.0,1.236,0.0,normal,0,normal,0.9148545861244202,0.08381014317274094,0.0013353006215766072
2026-01-01 00:04:00,23.56,65.7,4.0,0.997,0.0,normal,0,normal,0.9804462790489197,0.015793319791555405,0.0037604006938636303
2026-01-01 00:06:00,25.25,61.22,107.0,1.247,0.0,normal,0,normal,0.9992826581001282,0.0004785110941156745,0.00023886056442279369
2026-01-01 00:08:00,25.95,64.61,187.0,1.186,0.0,normal,0,normal,0.9996141195297241,0.00027658988256007433,0.00010922136425506324
2026-01-01 00:10:00,25.16,67.51,0.0,1.039,0.0,normal,0,normal,0.9801324009895325,0.017207207158207893,0.002660378348082304
2026-01-01 00:12:00,25.54,64.59,293.0,1.159,0.0,normal,0,normal,0.9995222091674805,0.00027060802676714957,0.00020714114361908287
2026-01-01 00:14:00,24.27,67.35,102.0,0.99,0.0,normal,0,normal,0.9982191920280457,0.0007648835889995098,0.0010159278754144907
2026-01-01 00:16:00,25.58,62.02,136.0,1.245,0.0,normal,0,normal,0.9987943172454834,0.0008797771297395229,0.00032593909418210387
2026-01-01 00:18:00,24.64,65.13,56.0,1.081,0.0,normal,0,normal,0.9973767995834351,0.001825587940402329,0.0007976498454809189
2026-01-01 00:20:00,23.38,64.39,0.0,1.024,0.0,normal,0,normal,0.9821494221687317,0.016277754679322243,0.0015728699509054422
2026-01-01 00:22:00,26.76,65.78,369.0,1.203,0.0,normal,0,normal,0.9995237588882446,0.0003280920791439712,0.00014817829651292413
2026-01-01 00:24:00,26.56,64.11,350.0,1.247,0.0,normal,0,normal,0.9996217489242554,0.00027274616877548397,0.00010551787272561342
2026-01-01 00:26:00,25.49,66.4,130.0,1.096,0.0,normal,0,normal,0.9988526105880737,0.0006669201538898051,0.00048046259325928986
2026-01-01 00:28:00,25.75,67.23,190.0,1.086,0.0,normal,0,normal,0.9988681077957153,0.0006425194442272186,0.0004894021549262106
2026-01-01 00:30:00,26.58,65.74,271.0,1.191,0.0,normal,0,normal,0.9995126724243164,0.0003356686793267727,0.00015160032489802688
2026-01-01 00:32:00,25.39,65.41,0.0,1.121,0.0,normal,0,normal,0.9785559177398682,0.01902839168906212,0.0024156630970537663
